,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
TSPAN6,3.97544676564,4.242602505930001,2.63691458036,1.49569516262,4.05050169745,3.15866017535,5.01122725542,6.425257872,5.59574233947,4.23189316165,2.2387868595900002,3.45549162063,5.2479275134400005,4.002702520380001,4.61999982982,3.05658352837,5.5849625007200006,5.890689877690001,4.04526821514,5.16309613844,2.76341157447,5.835924074249999,3.39231742278,2.2295879227400004,4.161887682380001,6.00741978357,4.12350066435
SCYL3,2.7398481027,1.7136958148399999,2.8196681835,3.35332329116,2.9855004302999997,4.06350294231,1.5607149544699999,3.2779847473,3.17312743348,2.32768736418,3.3881895371599997,2.91838623445,2.04963076772,3.62175885671,2.57773093149,2.55826763406,2.7506065048400004,3.1779177922,2.17312743348,2.53106949273,4.01077983875,4.221103725369999,2.1763227726400003,2.9068905956099997,2.5533605033400004,3.4841381312,2.35332329116
BAD,6.36439733732,5.447909748740001,5.9469647411599995,7.59320435406,5.83111719462,5.710944154580001,6.5900630188100005,5.7336254984099995,6.28281043957,6.88825618102,5.433627167080001,5.824258696599999,4.949067965849999,6.84724530714,6.7741281442900005,5.921959917330001,6.45220004941,5.0058490757,6.30724635523,6.65291665793,7.2394553266,5.16791986555,5.34589308569,6.515542158080001,5.656496370549999,5.9934479323300005,6.799864410880001
LAP3,4.93969674069,4.4262647547,5.58466190794,6.97590527352,5.8260399589,5.88679398998,5.7933757112599995,5.106432077819999,5.83010317592,6.34180788924,5.99163521648,6.83301656081,5.858478390419999,5.59782909783,5.8826430493599995,5.64846544303,6.40326772234,6.09740010732,6.064581109190001,4.750070485869999,5.456477629349999,4.94345253856,5.887037791419999,6.248117329249999,4.55581615506,6.7489978501,5.52888382727
SNX11,4.239550796610001,2.81147103053,4.564987800959999,6.540089281980001,2.81147103053,4.67412163263,3.83995958749,3.82273014794,3.88655014732,3.99457972422,3.79285535236,3.124328135,3.13586316537,3.98823022306,4.89384755813,4.9476661568,3.98185265329,4.08491465977,3.56803210477,4.33127526715,3.6194130106,3.6322682155000003,3.5981269599199996,4.42223300068,2.8298495598400004,4.04264433741,3.45943161864
CASP10,0.0565835283664,2.41142624573,0.21412480535300002,0.12432813500199999,0.0565835283664,0.59454854955,0.887525270742,2.24488705912,4.02059109477,1.31614574229,0.0840642647885,1.6322682155000001,2.1176950426700003,0.298658315565,0.0976107966264,0.263034405834,2.9486008474900003,2.59215800213,0.0143552929771,2.29865831556,0.13750352375,0.367371065649,0.250961573533,0.464668267003,0.12432813500199999,3.95884267524,0.7398481026989999
FKBP4,8.54889895287,4.64212391615,6.883742990569999,7.97292236423,7.37382218722,8.202564648,7.07456965747,5.728464765090001,5.62380834773,5.87110437356,7.14771372235,7.99932357815,5.34163000933,9.661564349339999,5.64385618977,6.97979671828,7.21072004153,5.85748342829,6.343940739269999,6.88862149734,7.45746296465,7.753818443169999,6.27835652801,8.39188798535,7.596487956860001,7.640534169389999,6.12845838415
RBM6,5.929080835240001,3.98913900737,5.24944534109,5.6496154590600005,5.41582625747,6.973955607839999,5.451211111830001,6.66149309282,5.22419466397,5.47638168757,4.56559717585,6.76990394498,4.3023190509500004,5.56833618213,5.161887682380001,5.157852169140001,5.15623479785,5.29939120613,5.85499301676,5.655638049229999,5.57954222494,6.20339694855,5.28651155766,6.58961369775,6.065873846769999,5.4876792789,5.45910369614
SLC25A13,3.98276546258,2.8257856274599997,4.80838505066,3.7708290460300002,4.09845324631,4.28835856219,3.89044669268,5.84423498776,4.43028527298,4.423578170980001,4.51222688651,5.21140163742,4.468583317009999,4.24640808725,5.36667191611,4.35825558671,3.1969217338200004,4.05831649559,4.896756218469999,2.79908730607,4.86393845042,4.33127526715,4.20711196121,4.57228336665,3.53356334821,5.13791332209,5.17512534966
ST7,3.13422093976,3.2341947229500003,3.47897180503,3.8678964639899998,4.55581615506,3.7092906357199995,4.55826763406,5.06995989046,4.28021399581,4.26228280642,2.95605665241,4.06608919046,3.6099912952099995,3.8855743643699996,4.35755200462,3.7430840555500002,4.13010717866,3.9643986322000004,3.88655014732,3.7548875021599994,5.73470962023,3.9963887464499996,2.89336221076,4.23419472295,3.31469652566,4.17712050285,4.85499301676
CIAPIN1,5.51096191928,4.20084957464,5.626439136699999,5.202417721580001,5.780047576059999,5.14200491598,5.26678654069,6.31795521831,6.0454866563600005,5.32409051604,6.199476046440001,5.66362925881,4.59812695992,6.32373033752,5.8564877795,4.92837032302,6.09254574154,5.38232140711,5.68313498513,5.882398504049999,5.94298359819,5.26416107129,6.00090140274,6.18388345903,5.19179950107,6.32660925101,5.491211756
MYCBP2,4.26002565596,4.10601323762,3.9541963103900004,5.128045890919999,4.88215391729,3.90592847817,3.94204525992,4.8534967037,5.35332329116,4.65076455912,4.59812695992,4.94953493302,4.98322165074,5.157852169140001,3.7824085649300003,3.64385618977,5.64645070648,3.9030382701099997,3.80115865609,4.75488750216,3.7322691994999997,5.23112515788,5.03782146543,5.15744799627,4.36246988875,4.6820113908,4.437627248319999
RALA,4.98276546258,3.29719141657,4.37920505996,5.44890095115,3.81044310385,6.05093696523,4.50842865253,4.51538446064,5.4802651220500005,5.05571626351,5.138323004059999,5.0967678547099995,4.6814492653099995,5.516015147,4.60347798825,4.250961573530001,4.846493315959999,4.44493204894,4.958378711569999,4.448240225219999,5.99276843077,4.495055528369999,3.5298209465300006,5.32373033752,4.46008724012,5.208673319630001,4.5831580038699995
ETV1,0.887525270742,0.963474123975,0.432959407276,0.17632277264000001,0.0565835283664,1.95977015521,2.3812833725,4.42223300068,1.93734439215,4.82119997806,0.13750352375,4.6264391367,2.73118324157,0.18903382439,2.74416109557,0.0976107966264,1.42760617278,0.32192809488699997,1.344828497,1.2326607567899999,0.18903382439,1.06350294231,3.1325768426700003,1.9855004303000001,0.13750352375,2.60644222813,2.16349873228
TBXA2R,0.83995958749,0.495695162624,0.20163386116999998,0.6690267655100001,0.757023246507,0.432959407276,1.15704371015,0.263034405834,0.356143810225,1.124328135,0.042644337408499995,1.8196681835,0.150559676575,0.0703893278914,1.36737106565,0.0,0.411426245726,0.286881147788,2.32481060342,1.04963076772,0.0,0.18903382439,0.0285691521968,0.38956681176299995,0.948600847493,0.0976107966264,0.333423733725
PAF1,5.91934008244,5.24906603386,6.4427776593,6.404630684219999,7.02912154913,5.27127625918,5.53574194108,5.9855004303,6.7324048867799995,6.3004898443599995,6.730775796510001,5.21723071622,4.670160514130001,5.17672169288,6.225352060780001,6.51774811423,6.924099885639999,5.8916622079900005,5.70404195482,5.96000193207,5.58074849176,5.71011763204,4.96486066425,6.1333991254199995,5.68173035544,6.20359271421,5.59245703727
ELAC2,5.226123143130001,5.06134418829,5.926711099099999,5.677508242259999,8.602735975669999,4.87921563717,5.43662826729,5.90977310414,5.20359271421,6.15340002774,5.072534599719999,6.514911264859999,3.56803210477,4.76288029292,5.58285703484,5.972462907200001,5.26828466652,5.6444331524099995,6.65806863459,5.47021145739,5.66505161429,4.48607074374,5.48735771531,6.042425465369999,4.15137177625,5.87651694657,5.80141736587
PAFAH1B1,4.95186750433,6.16047653641,6.00697118436,5.762880292919999,5.26828466652,5.18903382439,5.4131201464,6.04570506451,5.74926608381,5.7647389230199995,5.1034976397000005,6.63052196347,5.21179097625,5.71011763204,6.095713484249999,5.3930042569,6.118941072719999,6.127220550490001,6.168922781849999,5.27649666564,5.192588721569999,4.6287735952,5.34020617991,5.79934638752,4.8262942455,6.23112515788,6.35948603031
KIAA0100,6.68004299262,4.66789212523,6.07489072013,7.80258098607,5.8117278978,6.33091687811,5.3280465562699995,6.35790383855,5.72055209161,6.51206882625,6.84536459375,5.4296159642,5.58135124717,5.99638874645,7.07349893229,6.051372101719999,6.04198762165,5.99322146737,5.52450253745,6.2408867138,6.4367948121800005,6.21761848535,6.43195718769,7.1960364939499994,6.92825187029,6.32858517679,5.35438163211
TRAPPC6A,5.79779120048,5.22997238511,6.06995989046,5.448240225219999,5.96462966672,6.46319737983,4.52732060788,4.736063627869999,5.55458885168,2.3391373849200003,6.14465824283,3.16349873228,5.9389914387800005,6.71342088487,5.84247606299,6.64486572301,5.939931764730001,4.90014226036,3.8042601156300004,6.56833618213,6.746043983,6.20045727143,4.40939093614,5.12018602753,5.44890095115,5.54689445989,5.764208130140001
E2F2,2.7355221773,1.6915341649200002,2.68929916054,2.5945485495500002,2.66675659188,3.0721058004799997,1.61353165292,4.0232553523000005,4.21567859661,2.30451104181,3.9345165015900005,3.0232553523,1.5210507369,4.30085587127,2.92979099772,2.47248777146,3.60169651648,4.08406426479,3.31759350462,2.37295209791,3.5033487351699995,1.4436066514800001,1.9221978484,3.46858331701,2.93922657773,3.17152710604,4.03826057518
SYPL1,5.937579799680001,5.879460722540001,6.7531498788,6.62979373417,7.0615602091100005,6.4944156104,5.99254185911,6.37312615776,6.625854931369999,6.84410942137,5.8696246862,6.15340002774,6.52434581646,7.26884606287,7.33744350518,6.3804177727699996,6.4553272203,5.66590435495,6.77649883231,6.294988267690001,6.82858081028,6.785288980700001,5.205157883919999,5.98686597233,5.56924802987,7.09391928411,7.005736816810001
CYB561,7.216066783089999,6.03540396994,7.998759650910001,7.241744864939999,7.665051614289999,7.2014378295000006,4.97544676564,3.99548451888,5.9611602581400005,5.32660925101,6.994127113999999,3.95884267524,5.484460413130001,7.57478272084,6.757956641360001,8.143383213989999,6.2852172461,5.96647661214,5.32696871159,6.836176624809999,6.184677020680001,6.94321808743,1.5993177937,9.54947665481,6.70749718242,7.09708401565,4.78920757535
UBE3C,4.3936907641900005,3.1826922975200005,5.31106710226,5.05137210172,5.42559357765,5.35473423997,5.526068811669999,5.55151601763,4.79285535236,6.13504228623,5.322649262130001,5.91814767388,4.6129421963,5.57531233069,5.314333993919999,5.0422065601199995,5.44526320814,4.923624611369999,5.94157586182,5.67807190511,5.54504168347,5.53294028837,4.91695427895,5.23035674506,5.6839771069800005,6.011003564430001,6.9378151688
NCAPD2,4.48478262308,6.15926588316,6.01703108053,5.49217365961,4.99819550315,6.15421053059,6.53340760848,6.688460140419999,5.79830978245,6.86133509025,4.87676249078,6.8932408484000005,5.4419481905,6.475084882949999,5.55428186263,5.06608919046,7.041549645010001,6.361066488790001,6.28318097895,6.573495715499999,5.78424222206,5.36667191611,6.25814199589,6.673839055989999,6.11831819222,7.0410019871700005,7.38422253293
NISCH,5.0058490757,3.92694824795,4.570462931030001,4.90352037372,4.38197547856,5.09592442,4.89965902638,6.09655704226,4.91599885174,4.53791724903,4.6667565918800005,4.37295209791,4.516015147,4.96670731415,5.22226360353,4.10433665981,5.30742852519,5.3600130422,5.0139088454900005,4.64270157183,4.427606172780001,5.02014657311,4.5552026338800005,5.111031312390001,5.5033487351699995,4.71039319217,5.671576448130001
BTK,0.0285691521968,0.042644337408499995,0.20163386116999998,0.0565835283664,0.111031312389,0.286881147788,0.310340120612,0.163498732283,0.32192809488699997,0.17632277264000001,0.378511623254,0.44360665147600004,0.111031312389,1.61353165292,0.20163386116999998,0.17632277264000001,0.0840642647885,0.0565835283664,0.286881147788,0.641546029088,0.0285691521968,0.111031312389,0.13750352375,0.0285691521968,0.12432813500199999,0.2750070475,0.0703893278914
FYN,0.799087306074,0.6959938131100001,1.31614574229,0.22650852980900002,1.58976348698,0.6690267655100001,5.4741115139400005,3.68706068834,2.98732086593,4.86393845042,1.15055967658,3.6427015718300004,5.37712374913,2.30451104181,3.4880007708300003,0.9411063109460001,5.09550251766,4.16751850374,3.9809392660900005,5.21373609592,1.22650852981,1.54101915313,2.266036894,3.3434078223,1.9781956296799998,1.6599245584,3.9439213265499995
AKAP8L,5.61087719947,5.414812060569999,5.93262815702,5.95861071206,5.2536111519499995,5.60733031375,5.25738784269,6.07574653806,5.94251450534,5.3930042569,6.324630615269999,5.90183230579,6.15623479785,5.801158656089999,5.75167794569,5.57712666131,6.42088657498,8.19898518358,5.13750352375,5.418189947949999,6.53558643635,6.239550796610001,4.88068552526,6.34571570878,6.01836711554,5.194953795930001,6.3631710771200005
BRCA1,5.15906400881,3.54596836911,4.17712050285,3.53106949273,3.67355642399,4.20554891117,3.5594918132099997,5.205157883919999,4.20006486151,4.286881147790001,4.88508622529,3.7355221773,3.7420062108699996,4.71094415458,3.24184018356,3.88849973551,5.01301553584,4.392317422780001,4.7398481027,3.2720231890599996,4.00180224263,3.9401667504800004,4.6570683012,4.567423757709999,3.8509993947199996,4.79181407116,2.95605665241
UBR7,5.46008724012,3.02502879449,5.41953889151,5.23572705984,5.7175393433899995,5.47800105584,3.8962718488099997,5.44526320814,4.23496109484,5.3930042569,5.12598165385,4.698218478219999,3.2824398050099997,6.22554487,4.93168305706,5.26228280642,4.74738739965,4.83743871486,4.605849867190001,3.4620523188,5.17672169288,4.8171115728,3.7169908944,4.89093302171,4.79077203786,5.08108392869,5.687620632080001
MVP,2.8298495598400004,4.46532151358,3.6052572629400004,3.78345665436,3.90592847817,3.9174317553900004,5.84523912564,4.06091204959,5.66305992375,6.377470842849999,3.8288346494699996,7.2891889434,5.67440415394,3.9307373375599997,4.51349074559,3.8688842730300004,5.23457795978,6.84849775539,6.3503204353900005,5.54349588343,5.08406426479,5.64789009106,5.9843614904499995,5.390598905549999,2.78659636189,6.7417366238300005,7.10747864663
HEBP1,4.11436702495,5.20750245926,4.83642913116,5.01881218574,4.58736499094,5.46988597627,6.02680005934,5.68929916054,4.91838623445,6.041330606819999,5.64529816395,6.87713072877,5.08915913191,6.00090140274,5.36492255851,5.951634416830001,6.2104278304,4.392317422780001,4.908332569780001,6.29939120613,5.915520900750001,6.23074100263,4.35895882583,6.47816289274,4.85449441815,4.58556349846,5.624100894630001
MAMLD1,0.0976107966264,0.150559676575,1.65535182861,0.0143552929771,0.0565835283664,0.150559676575,2.65076455912,0.731183241572,3.17312743348,4.50842865253,0.21412480535300002,3.6937657122199994,0.13750352375,0.21412480535300002,5.10055722078,1.5459683691100001,0.6959938131100001,1.61353165292,4.66448284036,1.71808758396,0.713695814843,0.042644337408499995,0.8953026213330001,1.53106949273,0.0976107966264,2.32481060342,1.70929063572
CAPN1,6.85287278161,8.06199215373,6.87036471958,5.687340687380001,6.32589006104,6.08491465977,6.5299770739100005,6.41717741191,8.219991299750001,6.66860137997,4.121015400959999,6.16571099248,6.4462562298899995,8.298108403210001,7.5063670929,6.47816289274,8.81230568201,6.7023805016199995,5.849248702760001,7.9206505945600005,7.21130428629,5.478324711490001,6.24925569994,7.61867915075,6.57319272378,8.93543028069,6.92029330021
BID,5.52387555133,5.4944156104,6.16490692668,4.21955576917,3.8991756304800003,7.2610606216299995,4.82578562746,4.4944156104,7.11165734626,5.539158811109999,5.8459917706599995,5.740927560319999,4.89190518821,3.5873649909400003,6.76699261663,4.94392132655,7.207892851639999,6.11519974939,6.16551001804,6.20065343637,5.162290613550001,6.79740214163,4.2794712956400005,5.99661471482,6.436128517259999,5.198886990959999,4.76765479824
NUDCD3,6.03979640762,4.43028527298,5.114783447250001,6.0285691522,6.04264433741,5.862947248019999,4.958378711569999,5.20711196121,6.02103547951,6.02502879449,5.96393645214,5.98025384599,5.55949181321,6.17931198921,5.42189651204,4.8058083487,5.26903314646,6.20320115632,5.91599885174,6.20984323053,6.49825086753,5.87405920314,5.15015345525,5.97750890454,5.177917792200001,5.97705090611,5.20476675065
ATP2C1,5.23610988989,4.727375938590001,4.8160876586,5.6610654798099995,4.97085365434,5.38232140711,5.545968369110001,5.86542397831,5.350143602019999,5.8234946247099995,5.37712374913,5.0071955014,5.20554891117,5.27872821294,6.772149590780001,4.34127418369,5.83516615722,7.019701914439999,5.47216280355,5.77952238674,5.33699741661,5.269781238269999,5.8346606579,5.540399305630001,5.929080835240001,6.03804103701,6.45795538005
MNAT1,5.573495715499999,4.44956137461,5.23189316165,5.12680770314,5.3063351602,6.0279059965699995,5.882887553220001,5.2979250525,5.06738057802,5.81890167589,4.98959318494,4.93969674069,4.54163873444,5.46956042171,6.12804589092,5.59693514239,5.22032995488,5.51538446064,5.22766407255,5.21684284284,5.28909670242,5.386466092869999,5.138732569719999,5.202417721580001,4.4215599449,5.60792206726,5.0254718146199995
ZDHHC6,4.323370069059999,4.20945336563,4.51349074559,4.76977173925,4.91981677005,5.65535182861,3.8962718488099997,5.151777654730001,5.07296327156,4.86195536414,5.07980475464,5.70791125419,4.547819956580001,4.67694435911,4.63517394667,4.76553474636,4.529820946530001,5.381629467030001,4.37225564845,3.7344386661400004,3.74416109557,5.31179371775,4.643278996309999,4.85947266685,4.83895176695,4.94298359819,4.303050084680001
RNH1,6.40905143854,5.04526821514,6.465158229659999,6.983791683169999,6.39985467357,4.19613488077,6.91001305342,6.1043366598099995,6.631977320240001,7.539469034750001,6.33163356717,6.344828497000001,5.64299031296,6.42492208821,6.141187525,6.37799132691,6.55979769575,6.66035250967,6.70666868218,6.090641751919999,5.9276594607,6.609104846619999,6.64082334459,5.93734439215,5.77346892791,6.39643353125,6.81775115034
ALAS1,4.641546029090001,3.9579145986300004,4.16912328148,5.59991284219,4.775577360930001,3.8196681835,5.190614860209999,5.451540833019999,5.15704371015,5.616181231330001,4.547819956580001,6.141596278380001,4.124328135,4.55642941545,4.62993940944,4.0329824167,6.08470210801,5.569855608330001,6.22804904788,6.34109623796,5.12887075947,6.47945693479,4.98686597233,5.9891390073699995,5.2750070475,3.7322691994999997,6.4013915448
DERA,6.755154643180001,4.83238371655,4.23342794375,4.2979250525,3.74631276643,6.20339694855,6.573495715499999,5.34234139743,5.05571626351,5.36036427654,3.8001233528300005,5.751142324730001,5.863938450419999,4.768184324780001,4.95419631039,4.12184429788,6.05831649559,4.2502036565,4.5819537508499995,5.26903314646,4.898692072559999,4.05311133646,4.24412594328,5.32373033752,3.4776773275699995,4.5229345609400005,5.68173035544
