Gene,AB521M,AB551,AB555,AB559,AB580,AB630,HCI001,HCI002,HCI004,HCI005,HCI006,HCI008,HCI009,HCI010,HCI011,HCI014,IC006,IC007,STG139,STG139M,STG143,STG195,STG201,STG282,STG316,STG335,VHIO006,VHIO039,VHIO089,VHIO093,VHIO094,VHIO098,VHIO102,VHIO124,VHIO131,VHIO161,VHIO169,VHIO179,VHIO244
TSPAN6,9.37532394155631,8.18672368962,6.392242207692941,8.7290020862868,8.446459966861768,8.71996283524104,8.321274934672179,8.279356665728509,10.1856314110505,7.54858542778789,7.193846909079009,8.080755732840709,8.96439123957597,8.902479480260551,6.85306806355595,7.33994945890233,8.82716856721825,6.446683124939799,9.125061426913199,8.757524355173839,8.552582849711701,6.58273679070481,9.74113273342927,10.0618303070724,8.51208326040867,9.304070145645179,7.33175874895419,6.027510837032139,9.537098180174,9.044141353894151,9.26308221049548,8.54928399407135,9.815925518286509,9.81661554830282,6.900697923795611,8.12446667494247,8.01547188390949,8.006465727590621,7.88282557514423
SCYL3,7.89867811362507,9.34275022643855,8.5030326478664,8.16390034553247,8.641279284475809,7.62192108068102,7.859191968516151,8.30203689314044,8.149597719255691,7.73096592558696,8.26004415773104,8.22172149674129,8.60781736269394,7.7205589061203,8.40955284520597,9.55109322199918,9.366685161499632,8.46294382439721,7.647612780845519,7.28209216762012,8.48372835698164,9.1888581442942,7.7703284953323,8.289426391393171,8.39843931227438,7.67927965912012,7.696948835463849,8.214127774401309,8.04069044179046,8.82284227252141,7.41750283855721,7.87259428320723,7.68471886827896,7.54017835113614,8.31072490834931,7.932120611888941,7.295947736096769,7.37421596816486,8.83308278080031
BAD,7.73470420433409,7.992075273914679,8.02723863918788,7.92736293687867,8.121283300869809,8.119537581138049,7.30679617415228,7.918824026824139,8.02551268279141,8.12046585271823,8.74238556996593,8.796325950577401,8.16301597261783,7.52864660757812,8.39607888358683,8.753559364496269,8.08361113540719,8.42236501351199,8.022611865309651,8.19286402527802,8.84874420046495,8.794335477676169,8.03678215223009,7.8408280215325705,7.83062419609602,7.144034354332451,9.075281001464761,8.876230201356421,7.03385957587825,7.722156646428009,7.83989017229303,8.03969790834059,7.97363983981774,7.83677438642946,7.722098028601089,7.62265857424905,6.984686687014281,7.78324554742292,8.28589043479644
LAP3,8.82649909250216,9.68649100797108,9.458065798576419,8.30555323956202,10.0190525954587,7.6271770682209805,9.87288411679549,9.13969279375592,9.13468617537966,8.75849079467297,9.902592761639301,8.621635716379389,9.649116126850599,9.22341369026402,8.55742365617183,10.011140546977199,8.614610971417319,9.31468708356332,8.44345521293395,8.38783781163746,8.73144201072998,10.366085641692699,9.1210288495927,8.319891522599441,9.484585539088759,10.501116898477301,9.664648369664631,9.03083047336217,7.301128085418281,8.46922046463839,10.25826539039,9.30210506778363,8.288385875095889,9.680369115503991,9.4215526725401,10.5256733605174,8.62346727903981,8.63602352332038,9.025687401797551
SNX11,8.544661942708519,8.445974082648691,8.388250291834611,7.80434870605325,8.09552198550012,8.15247549574614,7.755347636816301,7.842586252693139,8.58967271764413,8.81873918797336,9.59619205897141,8.39242977360546,8.39858246806108,8.168712489065442,7.87686675372788,8.90831989651584,8.61801696215582,8.6112313876262,7.4105594682017895,7.55866981001999,8.510514086965259,9.006547121505259,8.15185680019549,8.61557668536125,7.98013365189464,8.5115392684048,8.66672484506133,8.103229620466431,8.241958423878009,7.6026611063921,7.917637809426639,8.27498115948287,7.65808679830356,7.7923808666875,8.73877028979864,8.46881061476279,8.387313552894701,8.59863890980395,8.856666778279001
CASP10,6.030255934529741,6.051406035950481,6.142760773315639,5.81574308473742,6.3212951202499195,6.049952841616981,5.97265952003288,6.040419809543941,5.979075545190951,6.06275635179227,6.086424688759661,6.06587283952062,6.019020761054139,5.95208475169525,5.855397160551259,5.8715165797605,6.31261565432133,6.02797225253404,6.0261670348674,6.02637562074522,6.10643820172614,5.99523456076574,6.00911501577302,6.016834173650321,5.94134787079556,6.109822081329581,5.9557505270682505,5.908215626323449,6.117505436083079,6.0770771197054,6.11849082665367,5.96556539204278,5.89660818510694,5.94608343122616,6.214434892999151,6.05203343184944,5.951098314056719,5.98756022002323,6.0034520722666205
FKBP4,8.393896900492411,9.40872060536975,11.0275578212692,8.952904676469311,9.9612233389681,9.14935566110447,9.21323063374193,9.54520265229439,8.03232287080973,9.92535053344036,9.54482993572066,8.1085385123683,9.34151088089442,8.57292729462092,9.81775674134206,9.463646011013891,8.63960336117521,10.280478924258801,8.38413415795965,8.95118592618641,9.280681152323401,9.90981289426683,8.28197385200821,9.44486060864739,9.39234457815397,9.43349060669939,10.973892019649698,8.863594874414039,9.202161084506802,8.617539501432,10.611762509732198,9.14732795313351,9.125510675756109,9.39332410203761,10.7272434101651,9.39483134139786,9.07094102623256,9.8690833704696,9.78498530498588
RBM6,8.663483158036719,7.83270193339209,8.77982833909759,8.365657640611651,8.932606010130769,8.83085254691263,7.70468055646078,8.04339392248641,8.57328445330091,8.4496124988731,8.18897933970253,8.47191889785638,7.82773442682697,7.67488584946355,8.30833226769134,8.85326532080429,8.5175185911523,7.957408560813401,8.04408091072788,8.05265479819174,8.57484568548815,8.21356958663517,7.955592363278281,9.07267901612327,7.85271081959221,9.462193559094,8.08615893933482,8.97423812449752,10.325697713263699,8.37772519841209,8.18354355738456,7.7633897733266295,9.189654823258051,8.082429426304161,8.04778281140841,8.27124481848999,7.95207454228989,8.00583744516387,8.320710620449152
SLC25A13,9.14936549430103,9.01122638315511,8.29422115143723,9.9508175226722,7.96333248115695,8.92081971852766,8.67369776236598,8.1143670822694,9.17744079693159,8.27257621849799,8.75060986826541,9.8761696153564,8.76903116295872,9.114660092809519,8.6738936224531,8.6475997168293,8.581197653270051,8.76606811797871,8.484991599572929,8.75472031395491,8.885257195660051,8.82303487165589,9.690632238872311,8.88113112653236,9.04188309508288,9.64656037894578,7.661378173436099,10.3234107805007,7.842489773479179,8.61733105431082,8.13580196360433,7.97838698676198,8.88787168983609,9.12538971962066,8.38790101856586,9.34751219864883,9.49942312943235,8.89924918523933,9.16928355446358
ST7,7.4264864407331705,7.4355001838329295,7.36720388079279,7.15119615328318,7.1898963831424805,6.474891518720571,7.5114947962064695,7.70378200414966,7.5304920614107,8.16032563367881,7.56890214541586,8.20083573926724,8.09728175592679,7.827627278417999,7.95541010119538,8.088102758029981,7.16840876197741,8.06566271649451,7.8075134420131205,8.17246442131075,8.066255990770639,7.68584997745346,8.06277540675256,7.5100224390707,7.921062727242349,7.9499151429754,8.186476889457019,7.65171668553767,7.060155387832941,7.71273532878567,7.3952457942191305,7.5838721159207,6.752481705738339,6.908423411281349,7.32017315246105,6.95100959228043,7.417700185466031,7.4191391545275,7.498474006833219
