R1507	Teprotumumab
Sorafenib	Sorafenib
Catumaxumab	Catumaxomab
Folfiri	Leucovorin	Fluorouracil	Irinotecan
rec MAGE3-AS+AS15 ASCI vs Placebo	MAGE-3-AS-AS15-ASCI
Study drug AMG 655	Conatumumab
Gleevec	Imatinib
autologous vaccine	ATCV
TRASTUZUMAB	Trastuzumab
PROCARBAZINE	Procarbazine
alimta	Pemetrexed
RBBX 01	rBBX-01
synthroid	Levothyroxine
Aromasin (Exemestane)	Exemestane
Mitoxantrone	Mitoxantrone
Topotecan	Topotecan
Pemetrexed disodium	Pemetrexed
Votrient	Pazopanib
Gemcitabine Injection	Gemcitabine
Filgrastim (G-CSF)	Filgrastim
Letrozol	Letrozole
Fluorouracil IV Continuous infusion over 46 hours	Fluorouracil
Hydoxyurea	Hydroxyurea
IRESSA placebo vs. drug	Gefitinib
PARAPLATIN	Carboplatin
MEL-44	Sargramostim
Temozlomide	Temozolomide
Alkeran	Melphalan
cyclophosphamidum	Cyclophosphamide
ERBITUX	Cetuximab
Roferon-A	Interferon A
cis-retinoic acid	Isotretinoin
GOG182	GOG 182
Femara	Letrozole
Erbitux	Cetuximab
doxorubicine	Doxorubicin
Cetuximab Study drug	Cetuximab
Gaminocamptothecin	9-aminocamptothecin
Gemcitabine HCI	Gemcitabine
Erlotinib	Erlotinib
LOMUSTINE	Lomustine
Eloxatin	Oxaliplatin
Gefitinib	gefitinib
Lomustin	Lomustine
Sylatron	Peginterferon alfa-2a
Leuprorelin	Leuprolide
ADRIAMYCIN	Doxorubicin
Mibefradil	mibefradil
Dexamethasone	Dexamethasone
TC	Docetaxel	Cyclophosphamide
Adrimycin	Doxorubicin
Trelstar	Triptorelin
Lymphocyte Infusion	NOS
Cancer Vax	Polyvalent Melanoma Vaccine
Trustuzumab	Trastuzumab
Vincristine (sulfate)	Vincristine
Clinical trial	NOS
Tetrathiomolybdate	Tiomolibdate
LY228820	LY228820
Amifostine	Amifostine
Hexalin	Altretamine
Altima	Pemetrexed
Cisplatin/Gemzar	Cisplatin	Gemcitabine
Epirubicoin	Epirubicin
Procarbazine	Procarbazine
Liposomal doxorubicin	Doxorubicin
Temozolomide	Temozolomide
5-Fluorouracil + leucovorin	Fluorouracil	Leucovorin
epirubicinum	Epirubicin
dasatinib	Dasatinib
Bevacizumab or Placebo	Bevacizumab
GEMCITABINE	Gemcitabine
IL-18	Interleukin-18
trabectedin	Trabectedin
nolvadex	Tamoxifen
Taxotere	Docetaxel
