,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
ABCF1,6.33521168171,5.32732808263,5.77636722957,6.58526303088,6.45071638872,4.5039847039,5.86269934098,6.04286317625,7.19455988602,7.2143191208,6.93404464711,6.02635744696,5.79389588255,5.86937792403,6.87749887278,6.14077865578,6.09740010732,6.67454539385,6.52763338729,5.94345253856,6.10998731854,5.60584986719,6.01747656302,6.72683121703,6.21897485712,6.59006301881,6.76646265243
HSPB1,10.2935866,8.07440909934,10.5791273377,9.33536802178,10.5457367535,9.21582417878,7.5742529165,7.40769264867,9.45403191267,8.12375929992,10.0404267226,9.72238063516,8.44547014404,10.249231993,8.98868468677,10.1176431014,9.81803886776,8.27663623852,9.05036564933,8.94602898952,8.06253190272,11.2755425561,8.3970328171,10.5077946402,7.415995221,10.3274403677,9.99732063793
HERPUD1,5.00988458893,5.71890955438,4.84146999947,6.35596768924,7.15157472977,5.8349134297,5.74792441624,6.82400405093,5.90568784853,4.98868468677,7.05939854397,4.36946648365,5.34518344719,6.15603249889,5.43696133783,5.36211916673,6.49024921063,4.99322146737,5.09465834265,5.20006486151,6.74523733213,6.17032569442,6.43529521565,6.53216108498,5.68144926531,6.55090066465,6.01613970266
LOXL1,0.847996906555,1.16992500144,3.38681094647,0.992768430769,0.83995958749,3.12598165385,4.13010717866,0.238786859587,1.14404636962,3.23419472295,2.516015147,3.30451104181,2.45943161864,1.46988597627,4.87725345388,2.90110824301,1.87184364851,3.91647664444,3.31324585179,5.75301612874,2.45417589319,0.871843648509,0.20163386117,3.06695024392,4.23802251783,0.389566811763,5.46630082918
SLC25A4,3.83592407425,3.5210507369,3.57773093149,5.03913839391,5.40939093614,3.60050764535,4.2102329901,5.30268461412,4.55090066465,4.67242534197,5.60910484662,4.45943161864,3.34198574723,3.49057013045,4.85449441815,3.79805051477,4.86789646399,2.99276843077,3.7398481027,3.31614574229,6.12474169242,4.31469652566,3.75488750216,5.37851162325,3.41006969176,3.62058641045,4.08321336825
AKAP8L,5.61087719947,5.41481206057,5.93262815702,5.95861071206,5.25361115195,5.60733031375,5.25738784269,6.07574653806,5.94251450534,5.3930042569,6.32463061527,5.90183230579,6.15623479785,5.80115865609,5.75167794569,5.57712666131,6.42088657498,8.19898518358,5.13750352375,5.41818994795,6.53558643635,6.23955079661,4.88068552526,6.34571570878,6.01836711554,5.19495379593,6.36317107712
RUVBL1,6.40684275466,5.33699741661,6.32246900411,5.48188013962,6.2018298662,5.08703845677,6.89178370322,6.26134275619,6.12101540096,6.24298351611,6.54117407341,6.24887634284,5.02192383855,6.1497471195,6.61765111943,6.30396335625,6.76420813014,6.86418614465,7.07959144865,6.69097573834,6.06004738367,5.20476675065,6.3278669714,7.04679660957,6.25361115195,6.43879185258,6.84272746929
PLA2G15,5.07767027423,2.85399564718,4.31034012061,4.67638025547,3.47897180503,4.60229058486,3.50589092973,4.36246988875,3.38543103719,3.67468661993,3.55336050334,3.2779847473,3.14077865578,4.56498780096,3.69153416492,3.72792045456,4.2779847473,3.66448284036,4.8160876586,4.1779177922,3.76765479824,4.71369581484,3.2750070475,4.76022094647,3.5885647374,3.95233356637,4.14323013478
MPZL1,4.87036471958,4.32984117653,4.08746284125,4.51222688651,4.6987741089,6.09043004232,5.15421053059,6.06995989046,6.28299572116,5.92576211367,5.88435370685,6.54117407341,5.20084957464,5.51569983828,5.54689445989,3.41006969176,7.38154295118,5.28132732966,6.47329987114,7.06813335395,5.52825874276,5.5397791917,4.86245139133,5.19574129325,4.95233356637,6.81519113717,6.19199684667
ZFP36,4.24031432933,4.85798099513,5.45910369614,7.8760871436,6.45795538005,7.43904128837,4.78031009904,3.03386345187,4.96762975347,5.31143045575,4.64500988439,3.38543103719,4.50271248597,5.52481592836,5.43028527298,4.69265037004,5.64154602909,4.62993940944,3.99638874645,6.24184018356,4.32768736418,5.64817779572,0.333423733725,4.86195536414,4.78607355158,5.69460165336,3.70043971814
