,ACH-000147,ACH-000624,ACH-000028,ACH-000277,ACH-000117,ACH-000097,ACH-000212,ACH-000856,ACH-000849,ACH-000768,ACH-000783,ACH-000573,ACH-000643,ACH-000352,ACH-000276,ACH-000019,ACH-000223,ACH-000374,ACH-000288,ACH-000711,ACH-000927,ACH-000759,ACH-000721,ACH-000934,ACH-000330,ACH-000859,ACH-000699
TCEAL4,0.7924335378323109,0.6605316973415133,0.885480572597137,0.8026584867075665,0.7382413087934561,0.8139059304703476,0.8680981595092024,0.7801635991820041,0.8507157464212679,0.7607361963190185,0.8333333333333334,0.8179959100204499,0.7719836400817995,0.8098159509202454,0.6247443762781186,0.8813905930470347,0.7668711656441718,0.38139059304703476,0.7852760736196319,0.778118609406953,0.8128834355828221,0.7883435582822086,0.8149284253578732,0.6462167689161554,0.8445807770961146,0.7658486707566462,0.820040899795501
SLC1A4,0.2280163599182004,0.09815950920245399,0.07668711656441718,0.5449897750511248,0.24539877300613497,0.29141104294478526,0.08588957055214724,0.22699386503067484,0.29243353783231085,0.05112474437627812,0.2842535787321063,0.10531697341513292,0.13394683026584867,0.6134969325153374,0.03374233128834356,0.16155419222903886,0.06748466257668712,0.1574642126789366,0.06237218813905931,0.24948875255623723,0.5572597137014315,0.278118609406953,0.15337423312883436,0.5143149284253579,0.17586912065439672,0.04294478527607362,0.14212678936605316
HLA-DMA,0.4815950920245399,0.5572597137014315,0.08384458077709611,0.21574642126789367,0.17280163599182005,0.11860940695296524,0.05623721881390593,0.06441717791411043,0.07566462167689161,0.20961145194274028,0.10736196319018405,0.08588957055214724,0.5286298568507157,0.07259713701431493,0.20449897750511248,0.12678936605316973,0.20143149284253578,0.34151329243353784,0.03067484662576687,0.1554192229038855,0.06441717791411043,0.25869120654396727,0.11451942740286299,0.09100204498977506,0.065439672801636,0.2985685071574642,0.2198364008179959
GDPD5,0.11860940695296524,0.06952965235173825,0.06339468302658487,0.07259713701431493,0.09815950920245399,0.1656441717791411,0.022494887525562373,0.10224948875255624,0.18404907975460122,0.0705521472392638,0.2740286298568507,0.06748466257668712,0.09815950920245399,0.30368098159509205,0.1114519427402863,0.17995910020449898,0.16462167689161555,0.12269938650306748,0.04703476482617587,0.2392638036809816,0.0736196319018405,0.7852760736196319,0.08486707566462168,0.09815950920245399,0.12065439672801637,0.14212678936605316,0.1656441717791411
AKR7A2,0.6400817995910021,0.5173824130879345,0.5920245398773006,0.7106339468302658,0.5756646216768916,0.4437627811860941,0.6032719836400818,0.5603271983640081,0.34151329243353784,0.5306748466257669,0.7760736196319018,0.4294478527607362,0.5132924335378323,0.7760736196319018,0.27607361963190186,0.5531697341513292,0.5439672801635992,0.294478527607362,0.4130879345603272,0.50920245398773,0.49591002044989774,0.4171779141104294,0.5685071574642127,0.6492842535787321,0.47955010224948874,0.3834355828220859,0.43047034764826175
S100A4,0.6830265848670757,0.3210633946830266,0.07770961145194274,0.15848670756646216,0.8384458077709611,0.29754601226993865,0.5306748466257669,0.7965235173824131,0.9100204498977505,0.9161554192229039,0.6032719836400818,0.7044989775051125,0.9141104294478528,0.07566462167689161,0.10633946830265849,0.0869120654396728,0.8660531697341514,0.8936605316973415,0.3936605316973415,0.4601226993865031,0.4662576687116564,0.9171779141104295,0.9212678936605317,0.7004089979550102,0.47648261758691207,0.40388548057259716,0.7402862985685071
CPNE3,0.6073619631901841,0.46319018404907975,0.5869120654396728,0.7985685071574642,0.721881390593047,0.6871165644171779,0.6042944785276073,0.50920245398773,0.3292433537832311,0.4284253578732106,0.6860940695296524,0.2229038854805726,0.4233128834355828,0.820040899795501,0.5521472392638037,0.6860940695296524,0.44683026584867075,0.5787321063394683,0.47648261758691207,0.6554192229038854,0.6901840490797546,0.712678936605317,0.49897750511247446,0.6380368098159509,0.516359918200409,0.6278118609406953,0.278118609406953
GTPBP8,0.15644171779141106,0.2034764826175869,0.13701431492842536,0.16359918200409,0.17484662576687116,0.17177914110429449,0.19631901840490798,0.2229038854805726,0.3016359918200409,0.1738241308793456,0.2085889570552147,0.31901840490797545,0.18916155419222905,0.11554192229038855,0.14212678936605316,0.21370143149284254,0.2740286298568507,0.3261758691206544,0.1738241308793456,0.18916155419222905,0.20961145194274028,0.09406952965235174,0.29754601226993865,0.13803680981595093,0.17075664621676892,0.18711656441717792,0.11860940695296524
EPHB2,0.04396728016359918,0.27096114519427406,0.10020449897750511,0.02147239263803681,0.03987730061349693,0.02044989775051125,0.09713701431492842,0.03374233128834356,0.3179959100204499,0.4611451942740286,0.028629856850715747,0.14212678936605316,0.40286298568507156,0.050102249488752554,0.1656441717791411,0.06441717791411043,0.20552147239263804,0.14621676891615543,0.014314928425357873,0.2443762781186094,0.0787321063394683,0.11860940695296524,0.14519427402862986,0.1687116564417178,0.16462167689161555,0.15848670756646216,0.22699386503067484
RHEB,0.5930470347648262,0.656441717791411,0.6993865030674846,0.6676891615541922,0.8292433537832311,0.8302658486707567,0.8517382413087935,0.8159509202453987,0.8701431492842536,0.8926380368098159,0.8282208588957055,0.8732106339468303,0.8793456032719836,0.8282208588957055,0.8732106339468303,0.7351738241308794,0.7955010224948875,0.6789366053169734,0.8660531697341514,0.8793456032719836,0.8261758691206544,0.787321063394683,0.7862985685071575,0.7586912065439673,0.7556237218813906,0.8711656441717791,0.9059304703476483
