Gene,AB521M,AB551,AB555,AB559,AB580,AB630,HCI001,HCI002,HCI004,HCI005,HCI006,HCI008,HCI009,HCI010,HCI011,HCI014,IC006,IC007,STG139,STG139M,STG143,STG195,STG201,STG282,STG316,STG335,VHIO006,VHIO039,VHIO089,VHIO093,VHIO094,VHIO098,VHIO102,VHIO124,VHIO131,VHIO161,VHIO169,VHIO179,VHIO244
TCEAL4,0.5603271983640081,0.44785276073619634,0.6002044989775052,0.418200408997955,0.7535787321063395,0.6656441717791411,0.6114519427402862,0.6196319018404908,0.4171779141104294,0.7044989775051125,0.7525562372188139,0.7044989775051125,0.5766871165644172,0.5010224948875256,0.5695296523517382,0.5439672801635992,0.84560327198364,0.6359918200408998,0.6707566462167689,0.5214723926380368,0.787321063394683,0.7576687116564417,0.591002044989775,0.4815950920245399,0.7198364008179959,0.5920245398773006,0.7607361963190185,0.5552147239263804,0.7188139059304703,0.6329243353783232,0.6983640081799591,0.5777096114519428,0.7535787321063395,0.6196319018404908,0.5869120654396728,0.4386503067484663,0.42024539877300615,0.5593047034764826,0.5204498977505112
SLC1A4,0.14519427402862986,0.3323108384458078,0.2719836400817996,0.18916155419222905,0.28732106339468305,0.2310838445807771,0.10531697341513292,0.12269938650306748,0.25766871165644173,0.21370143149284254,0.2443762781186094,0.014314928425357873,0.3967280163599182,0.16462167689161555,0.516359918200409,0.08997955010224949,0.08588957055214724,0.1554192229038855,0.026584867075664622,0.023517382413087935,0.28016359918200406,0.35480572597137017,0.15132924335378323,0.278118609406953,0.03885480572597137,0.06237218813905931,0.4161554192229039,0.26789366053169733,0.11451942740286299,0.065439672801636,0.18916155419222905,0.05214723926380368,0.11758691206543967,0.07668711656441718,0.45296523517382414,0.21063394683026584,0.08384458077709611,0.11042944785276074,0.14519427402862986
HLA-DMA,0.3394683026584867,0.4386503067484663,0.4110429447852761,0.467280163599182,0.14008179959100203,0.13190184049079753,0.679959100204499,0.3394683026584867,0.14008179959100203,0.15644171779141106,0.37525562372188137,0.27300613496932513,0.5828220858895705,0.3343558282208589,0.26993865030674846,0.26278118609406953,0.696319018404908,0.532719836400818,0.31390593047034765,0.49591002044989774,0.5194274028629857,0.32515337423312884,0.6165644171779141,0.5255623721881391,0.34151329243353784,0.2361963190184049,0.2392638036809816,0.3476482617586912,0.6595092024539877,0.1656441717791411,0.5858895705521472,0.17280163599182005,0.6063394683026585,0.37423312883435583,0.0869120654396728,0.8629856850715747,0.39775051124744376,0.5501022494887525,0.3425357873210634
GDPD5,0.3588957055214724,0.24948875255623723,0.18916155419222905,0.25664621676891614,0.29754601226993865,0.12678936605316973,0.21370143149284254,0.1768916155419223,0.5204498977505112,0.16257668711656442,0.22392638036809817,0.2556237218813906,0.36400817995910023,0.30368098159509205,0.081799591002045,0.4938650306748466,0.254601226993865,0.147239263803681,0.04294478527607362,0.02965235173824131,0.14826175869120656,0.10429447852760736,0.44683026584867075,0.5296523517382413,0.11042944785276074,0.4284253578732106,0.1738241308793456,0.12678936605316973,0.5858895705521472,0.28016359918200406,0.1165644171779141,0.05930470347648262,0.2689161554192229,0.18813905930470348,0.14212678936605316,0.09815950920245399,0.06952965235173825,0.0787321063394683,0.08282208588957055
AKR7A2,0.7852760736196319,0.7893660531697342,0.8394683026584867,0.8701431492842536,0.9069529652351738,0.8507157464212679,0.8578732106339468,0.8640081799591002,0.7361963190184049,0.8640081799591002,0.9049079754601227,0.8486707566462167,0.7883435582822086,0.7750511247443763,0.8210633946830266,0.8139059304703476,0.8609406952965235,0.8486707566462167,0.8139059304703476,0.8404907975460123,0.8333333333333334,0.7965235173824131,0.8629856850715747,0.6973415132924335,0.8231083844580777,0.7719836400817995,0.8701431492842536,0.8865030674846626,0.8353783231083844,0.7372188139059305,0.8680981595092024,0.7586912065439673,0.8026584867075665,0.7167689161554193,0.8813905930470347,0.8599182004089979,0.7331288343558282,0.7842535787321063,0.8404907975460123
S100A4,0.6768916155419223,0.7106339468302658,0.32515337423312884,0.12883435582822086,0.09918200408997956,0.06850715746421268,0.7740286298568507,0.9202453987730062,0.8179959100204499,0.5633946830265849,0.8936605316973415,0.4611451942740286,0.8067484662576687,0.9222903885480572,0.3282208588957055,0.15030674846625766,0.7177914110429447,0.1411042944785276,0.9161554192229039,0.918200408997955,0.2474437627811861,0.532719836400818,0.5633946830265849,0.9192229038854806,0.7259713701431493,0.8865030674846626,0.2249488752556237,0.16462167689161555,0.2607361963190184,0.9161554192229039,0.4120654396728016,0.7177914110429447,0.7750511247443763,0.9212678936605317,0.48773006134969327,0.8231083844580777,0.8987730061349694,0.9202453987730062,0.2740286298568507
CPNE3,0.8282208588957055,0.8865030674846626,0.7995910020449898,0.7944785276073619,0.6932515337423313,0.689161554192229,0.843558282208589,0.8742331288343558,0.8824130879345603,0.8824130879345603,0.8558282208588958,0.8139059304703476,0.8098159509202454,0.8333333333333334,0.84560327198364,0.8496932515337423,0.8803680981595092,0.8946830265848671,0.7198364008179959,0.7157464212678937,0.8476482617586912,0.8588957055214724,0.8732106339468303,0.8026584867075665,0.8507157464212679,0.8537832310838446,0.8466257668711656,0.8895705521472392,0.6523517382413088,0.8752556237218814,0.83640081799591,0.7883435582822086,0.876278118609407,0.8486707566462167,0.9120654396728016,0.8640081799591002,0.8302658486707567,0.8404907975460123,0.8312883435582822
GTPBP8,0.5132924335378323,0.34151329243353784,0.310838445807771,0.37014314928425357,0.23210633946830267,0.5204498977505112,0.4498977505112474,0.3374233128834356,0.39570552147239263,0.21779141104294478,0.29243353783231085,0.40797546012269936,0.19734151329243355,0.34355828220858897,0.20143149284253578,0.2474437627811861,0.26380368098159507,0.37014314928425357,0.3619631901840491,0.3987730061349693,0.17484662576687116,0.2719836400817996,0.4263803680981595,0.49591002044989774,0.41922290388548056,0.41411042944785276,0.2985685071574642,0.26993865030674846,0.3374233128834356,0.3558282208588957,0.278118609406953,0.5848670756646217,0.1441717791411043,0.4447852760736196,0.1901840490797546,0.294478527607362,0.3885480572597137,0.44785276073619634,0.36400817995910023
EPHB2,0.053169734151329244,0.06237218813905931,0.09918200408997956,0.07157464212678936,0.12474437627811862,0.15644171779141106,0.049079754601226995,0.05930470347648262,0.053169734151329244,0.10736196319018405,0.10224948875255624,0.06748466257668712,0.06441717791411043,0.04703476482617587,0.06032719836400818,0.05828220858895705,0.08997955010224949,0.05623721881390593,0.14212678936605316,0.15644171779141106,0.07259713701431493,0.0541922290388548,0.11451942740286299,0.08486707566462168,0.050102249488752554,0.2310838445807771,0.05623721881390593,0.05725971370143149,0.28016359918200406,0.07464212678936605,0.05623721881390593,0.0736196319018405,0.09611451942740286,0.02556237218813906,0.0705521472392638,0.08793456032719836,0.0541922290388548,0.034764826175869123,0.05930470347648262
RHEB,0.8752556237218814,0.8384458077709611,0.8149284253578732,0.8732106339468303,0.8231083844580777,0.8374233128834356,0.8957055214723927,0.8865030674846626,0.9100204498977505,0.8905930470347648,0.869120654396728,0.8834355828220859,0.8629856850715747,0.9120654396728016,0.8118609406952966,0.843558282208589,0.8824130879345603,0.901840490797546,0.8936605316973415,0.8977505112474438,0.8486707566462167,0.8118609406952966,0.9069529652351738,0.885480572597137,0.876278118609407,0.8987730061349694,0.8384458077709611,0.8241308793456033,0.5531697341513292,0.8773006134969326,0.8374233128834356,0.9038854805725971,0.7955010224948875,0.908997955010225,0.8016359918200409,0.8006134969325154,0.8016359918200409,0.8333333333333334,0.8813905930470347
EIF4G1,0.803680981595092,0.7392638036809815,0.7269938650306749,0.7351738241308794,0.8210633946830266,0.7740286298568507,0.8067484662576687,0.7750511247443763,0.8282208588957055,0.7842535787321063,0.7116564417177914,0.8588957055214724,0.754601226993865,0.8047034764826176,0.7801635991820041,0.6533742331288344,0.7638036809815951,0.7106339468302658,0.7494887525562373,0.7617586912065439,0.689161554192229,0.7382413087934561,0.8026584867075665,0.7198364008179959,0.787321063394683,0.8466257668711656,0.679959100204499,0.7995910020449898,0.8302658486707567,0.8445807770961146,0.8087934560327198,0.8701431492842536,0.8701431492842536,0.6728016359918201,0.6165644171779141,0.7137014314928425,0.6370143149284253,0.6901840490797546,0.7494887525562373
ZFP36,0.47955010224948874,0.7413087934560327,0.3169734151329243,0.3670756646216769,0.44171779141104295,0.18609406952965235,0.49897750511247446,0.656441717791411,0.696319018404908,0.29243353783231085,0.3967280163599182,0.7321063394683026,0.558282208588957,0.5020449897750511,0.5051124744376279,0.581799591002045,0.6267893660531697,0.598159509202454,0.3496932515337423,0.41922290388548056,0.3783231083844581,0.6523517382413088,0.7239263803680982,0.4662576687116564,0.5623721881390593,0.20245398773006135,0.33537832310838445,0.4049079754601227,0.6983640081799591,0.5224948875255624,0.418200408997955,0.43149284253578735,0.4458077709611452,0.66359918200409,0.8067484662576687,0.7443762781186094,0.7351738241308794,0.6973415132924335,0.3261758691206544
EXT1,0.2883435582822086,0.3885480572597137,0.44171779141104295,0.5797546012269938,0.5603271983640081,0.3773006134969325,0.6298568507157464,0.4723926380368098,0.5132924335378323,0.5408997955010225,0.401840490797546,0.5879345603271984,0.43558282208588955,0.4550102249488753,0.5378323108384458,0.40797546012269936,0.6850715746421268,0.3057259713701431,0.483640081799591,0.5930470347648262,0.4376278118609407,0.41922290388548056,0.38139059304703476,0.3936605316973415,0.38650306748466257,0.621676891615542,0.36809815950920244,0.34151329243353784,0.5439672801635992,0.5153374233128835,0.588957055214724,0.5838445807770961,0.5756646216768916,0.5071574642126789,0.4325153374233129,0.31390593047034765,0.46319018404907975,0.401840490797546,0.25869120654396727
RAB21,0.5081799591002045,0.5316973415132924,0.6349693251533742,0.2832310838445808,0.5593047034764826,0.43558282208588955,0.27505112474437626,0.6523517382413088,0.50920245398773,0.45194274028629855,0.4222903885480573,0.4294478527607362,0.5623721881390593,0.36298568507157464,0.4897750511247444,0.49897750511247446,0.5715746421267893,0.5071574642126789,0.28629856850715746,0.3292433537832311,0.5061349693251533,0.516359918200409,0.4110429447852761,0.3967280163599182,0.4222903885480573,0.581799591002045,0.5961145194274029,0.5807770961145194,0.3098159509202454,0.523517382413088,0.5777096114519428,0.4591002044989775,0.49284253578732107,0.3987730061349693,0.7638036809815951,0.4703476482617587,0.5899795501022495,0.46830265848670755,0.4376278118609407
TIMM17B,0.4601226993865031,0.5245398773006135,0.5245398773006135,0.2034764826175869,0.38139059304703476,0.6329243353783232,0.3445807770961145,0.40388548057259716,0.5143149284253579,0.5623721881390593,0.565439672801636,0.565439672801636,0.5664621676891616,0.3323108384458078,0.6257668711656442,0.4386503067484663,0.5685071574642127,0.5143149284253579,0.5255623721881391,0.5552147239263804,0.556237218813906,0.6359918200408998,0.4652351738241309,0.4570552147239264,0.5153374233128835,0.32719836400818,0.5572597137014315,0.647239263803681,0.47648261758691207,0.38650306748466257,0.5255623721881391,0.39059304703476483,0.38548057259713703,0.34151329243353784,0.4458077709611452,0.40899795501022496,0.40081799591002043,0.4754601226993865,0.3456032719836401
HK1,0.8374233128834356,0.911042944785276,0.8987730061349694,0.8885480572597138,0.8946830265848671,0.9202453987730062,0.8711656441717791,0.843558282208589,0.8476482617586912,0.9049079754601227,0.8588957055214724,0.8803680981595092,0.9079754601226994,0.8773006134969326,0.9028629856850716,0.878323108384458,0.9028629856850716,0.9059304703476483,0.908997955010225,0.9038854805725971,0.901840490797546,0.8946830265848671,0.8578732106339468,0.8977505112474438,0.8824130879345603,0.8394683026584867,0.8803680981595092,0.8875255623721882,0.876278118609407,0.8905930470347648,0.8251533742331288,0.8098159509202454,0.8885480572597138,0.8353783231083844,0.911042944785276,0.885480572597137,0.8711656441717791,0.8967280163599182,0.9130879345603272
FPGS,0.03578732106339468,0.09202453987730061,0.05725971370143149,0.06032719836400818,0.05112474437627812,0.050102249488752554,0.0541922290388548,0.07975460122699386,0.05930470347648262,0.0408997955010225,0.06952965235173825,0.06032719836400818,0.1032719836400818,0.05521472392638037,0.03578732106339468,0.09100204498977506,0.03783231083844581,0.0705521472392638,0.053169734151329244,0.0705521472392638,0.0705521472392638,0.0787321063394683,0.07259713701431493,0.06952965235173825,0.07770961145194274,0.06032719836400818,0.1165644171779141,0.07259713701431493,0.03578732106339468,0.05725971370143149,0.09100204498977506,0.09100204498977506,0.04396728016359918,0.04294478527607362,0.04294478527607362,0.028629856850715747,0.053169734151329244,0.06646216768916155,0.10122699386503067
ITGAE,0.6002044989775052,0.5685071574642127,0.6676891615541922,0.6748466257668712,0.7310838445807771,0.7617586912065439,0.37525562372188137,0.6646216768916156,0.4918200408997955,0.467280163599182,0.49897750511247446,0.6830265848670757,0.4458077709611452,0.5766871165644172,0.4222903885480573,0.565439672801636,0.47137014314928427,0.5797546012269938,0.6441717791411042,0.5961145194274029,0.6257668711656442,0.6053169734151329,0.7147239263803681,0.5828220858895705,0.48568507157464214,0.5848670756646217,0.5337423312883436,0.6155419222903885,0.4867075664621677,0.7443762781186094,0.4815950920245399,0.549079754601227,0.7310838445807771,0.5429447852760736,0.5153374233128835,0.6319018404907976,0.450920245398773,0.5419222903885481,0.7678936605316974
